longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,school_quality_index,distance_to_highway,property_tax_rate,climate_zone
-94.37858707299057,47.68897028411847,51,2589,337,7133,1332,36827.30691874599,451800.29589978966,2.7022519002068615,1.7387128411953543,1.2288213956425527,Humid Continental
-89.88442841000266,46.716578198064724,16,1539,2528,1097,3539,33440.55614935516,523564.4014592537,9.301307362030926,22.29382333837144,1.256550993517603,Cold Continental
-91.59044725387103,45.35716569771797,66,5670,2630,3562,3511,83349.33284407374,433517.2541855103,7.2606218711865225,11.648974818219228,0.899282343283171,Humid Continental
-92.63046382326311,48.382770118241694,12,425,2060,2836,3572,95864.75438565743,421460.15237642685,6.496936576165347,8.068680182403558,1.2897144865306287,Humid Continental
-96.08305460454899,47.608387035323275,25,4365,1148,13380,1187,92561.22679463739,470184.5214900507,2.7985714415374554,11.963885653861047,2.0074951103622194,Cold Continental
-96.08324274137762,44.475701636069346,74,4612,1776,10379,3521,73504.458229299,295252.5616496701,1.499725295282355,8.025771957839448,1.126301936647169,Humid Continental
-96.84694782508804,48.96556310696305,76,7773,2629,1072,4815,37989.34569089425,460688.4850042032,6.116184086571459,12.276990805159736,1.773262452694092,Cold Continental
-90.5438260629555,48.43522345753901,29,4168,1063,8021,5154,85043.55550688111,93663.62618290752,6.863641149960031,21.502954283256628,1.6814796829140297,Humid Continental
-92.61130290840298,49.19879947975154,16,1508,636,6671,373,49351.11068433168,515298.0854733302,2.8970330441921943,14.848304139446181,2.008878451716762,Cold Continental
-91.77703389319085,47.85431705033016,19,7506,1703,7597,5662,102885.49622139068,293920.9943779006,6.008105852429107,17.396878942973366,0.9852031267114536,Humid Continental
-97.13944094449273,47.18049117561474,63,5642,2079,2590,3941,97061.2287636564,344554.88641824387,8.708440624863162,9.18029983823498,2.1686259444830607,Humid Continental
-89.73470315313645,46.00945821774371,30,7651,227,14492,3252,86750.63736699127,207245.83450084587,8.51559350909518,18.488796374911917,1.615680104456512,Humid Continental
-90.80694740175672,49.09637090012408,30,6938,191,7066,926,105907.67646649043,431564.18310659385,9.346196625276674,16.69876541349637,2.19366381328554,Humid Continental
-95.64375493670944,48.69638333700245,51,6870,642,12361,3960,32513.745720901836,125252.47097861445,4.292972286011924,3.0770937440262056,2.076120616212191,Humid Continental
-95.88176525578461,43.77131202063714,36,3549,945,12964,2075,88896.03400486097,491412.46917154425,3.8624461529582685,14.358807042578055,1.1101241809583482,Cold Continental
-95.86944482314321,43.65820184698351,14,1218,1781,5124,5977,56419.422346912426,470933.74134291767,7.744834053827278,6.492913058112974,0.8786268138646384,Cold Continental
-94.92691050491561,45.758780201268294,20,7895,1951,2133,4233,102485.27085490922,189387.65347259253,4.880011645873045,20.12198217387646,1.1578947313135062,Humid Continental
-93.20689983326855,48.363319984690996,75,5713,2594,13753,5643,51334.01573295821,462289.2232112207,1.7879379762500256,10.705848940826792,1.5385891085991878,Humid Continental
-93.9308288545915,49.42365677588967,21,4223,489,2017,1189,87988.51994520136,451724.5572082815,3.5452101760344976,24.86763571339253,1.040234913891266,Humid Continental
-95.02841270645527,44.40250134662117,27,6594,2819,12985,3944,100211.76157206252,380819.6349668165,4.767240569783402,2.4032609046801983,1.034443642325184,Cold Continental
-92.52754742116544,47.06478429211281,30,6827,1984,11349,2886,33332.5454706146,261819.28137385627,3.632647829286268,19.53066178222995,1.4476309659472144,Cold Continental
-96.21194788691407,45.78534513978613,11,6057,142,4148,619,61811.80636736289,214889.42692365922,3.9898501385258944,16.875173165199698,0.8465751596371018,Humid Continental
-95.0212717414253,49.31948638688762,18,4703,353,13640,793,90984.7225617551,196620.45153310103,3.643983155569517,19.210720881708568,0.9706433155451787,Cold Continental
-94.44237762230921,48.55271353881425,11,5755,1183,12280,1974,66393.51116060697,236560.1228712593,1.3734925046477149,7.757491907712362,1.3822058751711266,Humid Continental
-93.74265412310712,48.52997222826683,13,2269,2810,2037,2659,51380.210383487625,505636.88397896395,6.7338523074199825,12.352156785621773,0.8883818728911531,Humid Continental
-91.1756275011345,46.31215895876982,52,3093,2614,14857,1135,47584.427905855206,125714.7569548394,6.375631783181223,19.933062141120338,1.3554570790377412,Humid Continental
-95.7425444991648,45.98891701402599,76,1191,2434,13868,5403,40521.46135331023,471280.78707636095,6.880451486308125,5.890279157359289,1.4636087723278233,Cold Continental
-93.28897138037382,45.14044243158424,63,4770,1640,3637,5432,98570.36478850259,250489.43451923883,2.7307890643026473,5.728226600037436,1.4317732597023602,Humid Continental
-92.67916636287606,43.83825297990556,43,7475,2053,7485,4008,76028.43226012448,329935.7221652247,3.6608908745123676,13.821168737043815,2.0168448003643222,Humid Continental
-96.93768678078402,48.68833425753032,22,2333,2925,597,531,36110.79559931648,455463.3914783057,6.5765433425043005,13.136733130293408,1.5420874370724256,Humid Continental
-92.56115015516878,48.377406054780465,63,1664,2492,11907,3649,60606.42588565084,496813.2116305668,6.396648116139293,7.128335513282027,1.4551726474692608,Cold Continental
-95.96991183523912,49.49830603971678,21,428,741,14691,2902,59418.692064408795,248599.45323341762,5.55697278418841,7.522083698068086,1.3749929435483328,Cold Continental
-96.79259757471482,49.47982102244343,18,1314,2529,13222,4206,44539.13525675704,302448.0013865507,4.153719250091777,7.01834456384348,1.9446727296262807,Cold Continental
-89.898692809424,46.83259023361576,35,2099,789,13424,5254,64840.61003777525,280677.38981572445,9.216379042972209,19.310650343762344,2.0530792455997666,Humid Continental
-89.76807014201843,48.11392449108306,28,7112,1376,4250,4068,56567.94923145091,96095.47541179885,4.057932180689594,16.33233155250527,1.9945394568759647,Cold Continental
-90.9945006846916,49.16859437929457,64,7819,2050,11849,4400,57344.2964393746,226133.72887498204,5.100572407935264,20.827187866915292,1.7429652093839474,Humid Continental
-94.92401260044771,48.59788434406447,49,5777,1179,13375,401,89122.1246230367,301227.04751697846,7.103024478587878,24.389278405019144,0.992306444356144,Cold Continental
-96.53815751075021,44.98408861045919,7,4912,1586,9035,2697,47861.070840415705,279103.06008500233,5.887192877800877,11.906690977172461,1.1876179572888172,Humid Continental
